,42,Yoruba Girl Dancing,Simi ,Bedford ,1992,Nigeria,Novels,Yoruba Girl Dancing,Simi ,Bedford ,,CONFLICTING CULTURES,Africa,Nigeria,,,,
,43,Veils,Nahid ,Rachlin ,1992,Iran,Short Stories,Veils,Nahid ,Rachlin ,,CONFLICTING CULTURES,Middle East,Iran,,,,
,44,Seventh Heaven,Alice ,Hoffman ,1990,U.S.,Novels,Seventh Heaven,Alice ,Hoffman ,,CONFLICTING CULTURES,North America,U.S.,,,,
,45,The Scent of the Gods,Fiona ,Cheong ,1991,Singapore,Novels,The Scent of the Gods,Fiona ,Cheong ,,CONFLICTING CULTURES,Asia,Singapore,U.S.,,,
,46,Sans Souci and Other Stories,Dionne ,Brand ,1988,Carribean (general),Short Stories,Sans Souci and Other Stories,Dionne ,Brand ,,CONFLICTING CULTURES,Caribbean,Carribean (general),,,,
,47,The Power of Horses and Other Stories,Elizabeth ,Cook-Lynn ,1990,U.S.,Short Stories,The Power of Horses and Other Stories,Elizabeth ,Cook-Lynn ,,CONFLICTING CULTURES,North America,U.S.,,X,,
,48,Nisei Daughter,Monica ,Sone ,1953,U.S.,Autobiographies and Memoirs,Nisei Daughter,Monica ,Sone ,,CONFLICTING CULTURES,North America,U.S.,,X,,
,49,Moccasin Maker,E. Pauline ,Johnson ,1913,Canada,Short Stories,Moccasin Maker,E. Pauline ,Johnson ,,CONFLICTING CULTURES,North America,Canada,,,,
,50,Lost in Translation,Eva ,Hoffman ,1989,U.S.,Autobiographies and Memoirs,Lost in Translation,Eva ,Hoffman ,,CONFLICTING CULTURES,North America,U.S.,Poland,,,
tr,51,Letters of a Javanese Princess,Raden Adjeng ,Kartini ,1899,Indonesia,"Diaries, Journals, and Letters",Letters of a Javanese Princess,Raden Adjeng ,Kartini ,,CONFLICTING CULTURES,Asia,Indonesia,,,,
,52,The Land of Look Behind: Prose and Poetry,Michelle ,Cliff ,1985,West Indies,Essays,The Land of Look Behind: Prose and Poetry,Michelle ,Cliff ,,CONFLICTING CULTURES,Caribbean,West Indies,,X,X,
,53,Juletane,Myriam Warner ,Vieyra ,1982,Africa (general),Novels,Juletane,Myriam Warner ,Vieyra ,,CONFLICTING CULTURES,Africa,Africa (general),,,,
,54,Jasmine,Bharati ,Mukherjee ,1989,U.S.,Novels,Jasmine,Bharati ,Mukherjee ,,CONFLICTING CULTURES,North America,U.S.,,X,,
,55,Halfbreed,Maria ,Campbell ,1973,Canada,Autobiographies and Memoirs,Halfbreed,Maria ,Campbell ,,CONFLICTING CULTURES,North America,Canada,,,,
,56,The Getting of Wisdom,Henry Handel,Richardson ,1910,Australia,Novels,The Getting of Wisdom,Henry Handel,Richardson ,,CONFLICTING CULTURES,Oceania,Australia,,,,Ethel Florence Lindsay Richardson
,57,The Gates of Ivory,Margaret ,Drabble ,1991,Cambodia,Novels,The Gates of Ivory,Margaret ,Drabble ,,CONFLICTING CULTURES,Asia,Cambodia,England,,,
,58,The Flame Trees of Thika,Elspeth ,Huxley ,1959,Kenya,Autobiographies and Memoirs,The Flame Trees of Thika,Elspeth ,Huxley ,,CONFLICTING CULTURES,Africa,Kenya,,,,
,59,"Crick Crack, Monkey",Merle ,Hodge ,1970,Carribean (general),Novels,"Crick Crack, Monkey",Merle ,Hodge ,,CONFLICTING CULTURES,Caribbean,Carribean (general),,,,
,60,Coonardoo,Katherine S. ,Prichard ,1929,Australia,Novels,Coonardoo,Katherine S. ,Prichard ,,CONFLICTING CULTURES,Oceania,Australia,,,,
,61,Coming of Age in Mississippi,Anne ,Moody ,1968,U.S.,Autobiographies and Memoirs,Coming of Age in Mississippi,Anne ,Moody ,,CONFLICTING CULTURES,North America,U.S.,,X,,
,62,Coming Home and Other Stories,Farida ,Karodia ,1988,South Africa,Short Stories,Coming Home and Other Stories,Farida ,Karodia ,,CONFLICTING CULTURES,Africa,South Africa,,,,
,63,Clay Walls,Kim ,Ronyoung ,1987,U.S.,Novels,Clay Walls,Kim ,Ronyoung ,,CONFLICTING CULTURES,North America,U.S.,,X,,
,64,The Clay That Breathes: A Novella and Stories,Catherine ,Browder ,1991,Japan,Short Stories,The Clay That Breathes: A Novella and Stories,Catherine ,Browder ,,CONFLICTING CULTURES,Asia,Japan,U.S.,,,
,65,Castle Rackrent,Maria ,Edgeworth ,1800,Ireland,Novels,Castle Rackrent,Maria ,Edgeworth ,,CONFLICTING CULTURES,Europe,Ireland,England,,,
,66,Blue Taxis: Stories About Africa,Eileen ,Drew ,1989,Africa (general),Short Stories,Blue Taxis: Stories About Africa,Eileen ,Drew ,,CONFLICTING CULTURES,Africa,Africa (general),,,,
,67,American Indian Stories,,Zitkala-Ša ,1921,U.S.,Short Stories,American Indian Stories,,Zitkala-Ša ,,CONFLICTING CULTURES,North America,U.S.,,X,,
,68,The Abandoned Baobab,Ken ,Bugul ,1984,Senegal,Autobiographies and Memoirs,The Abandoned Baobab,Ken ,Bugul ,,CONFLICTING CULTURES,Africa,Senegal,,,,
ETHICS (Read: 2),,,,,,,,,,,,ETHICS,,,,,,
,69,The Bell,Iris ,Murdoch ,1958,England,Novels,The Bell,Iris ,Murdoch ,,ETHICS,Europe,England,,,,
r,70,To Kill a Mockingbird,Harper ,Lee ,1960,U.S.,Novels,To Kill a Mockingbird,Harper ,Lee ,,ETHICS,North America,U.S.,,,,
,71,"Walls: Resisting the Third Reich, One Woman's Story",Hiltgunt ,Zassenhaus ,1974,Germany,Autobiographies and Memoirs,"Walls: Resisting the Third Reich, One Woman's Story",Hiltgunt ,Zassenhaus ,,ETHICS,Europe,Germany,,,,
,72,A Voice from the South,Anna Julia ,Cooper ,1892,U.S.,Essays,A Voice from the South,Anna Julia ,Cooper ,,ETHICS,North America,U.S.,,X,,
,73,Uncle Tom's Cabin,Harriet Beecher,Stowe ,1851,U.S.,Novels,Uncle Tom's Cabin,Harriet Beecher,Stowe ,,ETHICS,North America,U.S.,,X,,
,74,Strange Fruit,Lillian ,Smith ,1944,U.S.,Novels,Strange Fruit,Lillian ,Smith ,,ETHICS,North America,U.S.,,X,,
,75,The Story of an African Farm,Olive ,Schreiner ,1883,South Africa,Novels,The Story of an African Farm,Olive ,Schreiner ,,ETHICS,Africa,South Africa,,,,
,76,A Small Place,Jamaica ,Kincaid ,1988,Antigua,Essays,A Small Place,Jamaica ,Kincaid ,,ETHICS,Caribbean,Antigua,,,,
,77,Silent Spring,Rachel ,Carson ,1962,U.S.,Nonfiction,Silent Spring,Rachel ,Carson ,,ETHICS,North America,U.S.,,,,
,78,Requiem,Shizuko ,Gō ,1973,Japan,Novels,Requiem,Shizuko ,Gō ,,ETHICS,Asia,Japan,,,,
,79,The Potter's Field,Ellis ,Peters ,1990,England,Novels,The Potter's Field,Ellis ,Peters ,,ETHICS,Europe,England,,,,
,80,Possessing the Secret of Joy,Alice ,Walker ,1992,Africa (general),Novels,Possessing the Secret of Joy,Alice ,Walker ,,ETHICS,Africa,Africa (general),U.S.,X,,
,81,Mary Barton: A Tale From Manchester Life,Elizabeth ,Gaskell ,1848,England,Novels,Mary Barton: A Tale From Manchester Life,Elizabeth ,Gaskell ,,ETHICS,Europe,England,,,,
r,82,The Lottery and Other Stories,Shirley ,Jackson ,1948,U.S.,Short Stories,The Lottery and Other Stories,Shirley ,Jackson ,,ETHICS,North America,U.S.,,,,
,83,Life in the Iron Mills and Other Stories,Rebecca ,Harding ,1861,U.S.,Short Stories,Life in the Iron Mills and Other Stories,Rebecca ,Harding ,,ETHICS,North America,U.S.,,,,
,84,Hope Leslie; or Early Times in Massachusetts,Catherine ,Sedgwick ,1827,U.S.,Novels,Hope Leslie; or Early Times in Massachusetts,Catherine ,Sedgwick ,,ETHICS,North America,U.S.,,,,
,85,Grey Is the Color of Hope,Irina ,Ratushinskaya ,1988,Russia,Autobiographies and Memoirs,Grey Is the Color of Hope,Irina ,Ratushinskaya ,,ETHICS,Europe,Russia,,,,
,86,Evelina; or the History of a Young Lady's Entrance Into the World,Fanny ,Burney ,1778,England,Novels,Evelina; or the History of a Young Lady's Entrance Into the World,Fanny ,Burney ,,ETHICS,Europe,England,,,,
,87,Deals with the Devil and Other Reasons to Riot,Pearl ,Cleage ,1993,U.S.,Essays,Deals with the Devil and Other Reasons to Riot,Pearl ,Cleage ,,ETHICS,North America,U.S.,,X,,
tr,88,Bonjour Tristesse,Françoise ,Sagan ,1955,France,Novels,Bonjour Tristesse,Françoise ,Sagan ,,ETHICS,Europe,France,,,,
FAMILIES (Read: 2),,,,,,,,,,,,FAMILIES,,,,,,
r,89,Housekeeping,Marilynne ,Robinson ,1981,U.S.,Novels,Housekeeping,Marilynne ,Robinson ,,FAMILIES,North America,U.S.,,,,
,90,Maud Martha,Gwendolyn ,Brooks ,1953,U.S.,Novels,Maud Martha,Gwendolyn ,Brooks ,,FAMILIES,North America,U.S.,,X,,
,91,A Thousand Acres,Jane ,Smiley ,1991,U.S.,Novels,A Thousand Acres,Jane ,Smiley ,,FAMILIES,North America,U.S.,,,,
,92,Six of One,Rita Mae ,Brown ,1989,U.S.,Novels,Six of One,Rita Mae ,Brown ,,FAMILIES,North America,U.S.,,,X,
,93,Singing Softly/Cantando Bajito,Carmen ,de Monteflores ,1989,Puerto Rico,Novels,Singing Softly/Cantando Bajito,Carmen ,de Monteflores ,,FAMILIES,Caribbean,Puerto Rico,,,,
,94,Road Song,Natalie ,Kusz ,1990,U.S.,Autobiographies and Memoirs,Road Song,Natalie ,Kusz ,,FAMILIES,North America,U.S.,,,,
,95,Rituals of Survival: A Woman's Portfolio,Nicholasa ,Mohr ,1985,U.S.,Short Stories,Rituals of Survival: A Woman's Portfolio,Nicholasa ,Mohr ,,FAMILIES,North America,U.S.,,X,,
,96,The Revolution of Little Girls,Blanche ,Boyd ,1991,U.S.,Novels,The Revolution of Little Girls,Blanche ,Boyd ,,FAMILIES,North America,U.S.,,,X,
,97,The Rector's Daughter,F. M. ,Mayor,1924,England,Novels,The Rector's Daughter,F. M. ,Mayor,,FAMILIES,Europe,England,,,,Flora Macdonald Mayor
,98,Queen Lear,Molly ,Keane ,1988,Ireland,Novels,Queen Lear,Molly ,Keane ,,FAMILIES,Europe,Ireland,,,,
r,99,Princess: A True Story of Life Behind the Veil in Saudi Arabia,Jean P. ,Sasson ,1992,Saudi Arabia,Biographies,Princess: A True Story of Life Behind the Veil in Saudi Arabia,Jean P. ,Sasson ,,FAMILIES,Middle East,Saudi Arabia,U.S.,,,
,100,Paradise of the Blind,Dương Thu ,Hương ,1988,Vietnam,Novels,Paradise of the Blind,Dương Thu ,Hương ,,FAMILIES,Asia,Vietnam,,,,
,101,Owls Do Cry,Janet ,Frame ,1960,New Zealand,Novels,Owls Do Cry,Janet ,Frame ,,FAMILIES,Oceania,New Zealand,,,,
,102,The Loom and Other Stories,R. A. ,Sasaki ,1991,U.S.,Short Stories,The Loom and Other Stories,R. A. ,Sasaki ,,FAMILIES,North America,U.S.,,X,,
,103,Little Women,Louisa May ,Alcott ,1868,U.S.,Novels,Little Women,Louisa May ,Alcott ,,FAMILIES,North America,U.S.,,,,
,104,Little Altars Everywhere,Rebecca ,Wells ,1992,U.S.,Novels,Little Altars Everywhere,Rebecca ,Wells ,,FAMILIES,North America,U.S.,,,,
,105,The Last of the Menu Girls,Denise ,Chávez ,1986,U.S.,Short Stories,The Last of the Menu Girls,Denise ,Chávez ,,FAMILIES,North America,U.S.,,X,,
,106,Jubilee,Margaret ,Walker ,1966,U.S.,Novels,Jubilee,Margaret ,Walker ,,FAMILIES,North America,U.S.,,X,,
,107,Fortunate Lives,Robb Forman ,Dew ,1991,U.S.,Novels,Fortunate Lives,Robb Forman ,Dew ,,FAMILIES,North America,U.S.,,,,
,108,Family Pictures,Sue ,Miller ,1990,U.S.,Novels,Family Pictures,Sue ,Miller ,,FAMILIES,North America,U.S.,,,,
,109,Dreaming in Cuban,Cristina ,García,1992,Cuba,Novels,Dreaming in Cuban,Cristina ,García,,FAMILIES,Caribbean,Cuba,,X,,
,110,Crossings,Chuang ,Hua ,1968,U.S.,Novels,Crossings,Chuang ,Hua ,,FAMILIES,North America,U.S.,,X,,
tr,111,Cold Comfort Farm,Stella ,Gibbons ,1932,England,Novels,Cold Comfort Farm,Stella ,Gibbons ,,FAMILIES,Europe,England,,,,
,112,Clear Light of Day,Anita ,Desai ,1980,India,Novels,Clear Light of Day,Anita ,Desai ,,FAMILIES,Asia,India,,,,
,113,Cantora,Sylvia ,López-Medina ,1992,U.S.,Novels,Cantora,Sylvia ,López-Medina ,,FAMILIES,North America,U.S.,,X,,
,114,Bone,Fae Myenne ,Ng ,1993,U.S.,Novels,Bone,Fae Myenne ,Ng ,,FAMILIES,North America,U.S.,,X,,
,115,Bastard Out of Carolina,Dorothy ,Allison ,1992,U.S.,Novels,Bastard Out of Carolina,Dorothy ,Allison ,,FAMILIES,North America,U.S.,,,X,
FRIENDSHIP AND INTERACTIONS (Read: 0),,,,,,,,,,,,FRIENDSHIP AND INTERACTIONS,,,,,,
,116,Later the Same Day,Grace ,Paley ,1985,U.S.,Short Stories,Later the Same Day,Grace ,Paley ,,FRIENDSHIP AND INTERACTIONS,North America,U.S.,,,,
tr,117,Middlemarch,George ,Eliot ,1871,England,Novels,Middlemarch,George ,Eliot ,,FRIENDSHIP AND INTERACTIONS,Europe,England,,,,Mary Ann Evans
,118,A Weave of Women,E. M. ,Broner ,1978,Israel,Novels,A Weave of Women,E. M. ,Broner ,,FRIENDSHIP AND INTERACTIONS,Middle East,Israel,,,,
,119,Twilight and Other Stories,Shulamith ,Hareven ,1992,Israel,Short Stories,Twilight and Other Stories,Shulamith ,Hareven ,,FRIENDSHIP AND INTERACTIONS,Middle East,Israel,,,,
,120,Seventeen Syllables and Other Stories,Hisaye ,Yamamoto ,1948,U.S.,Short Stories,Seventeen Syllables and Other Stories,Hisaye ,Yamamoto ,,FRIENDSHIP AND INTERACTIONS,North America,U.S.,,X,,
,121,A River Sutra,Gita ,Mehta ,1993,India,Novels,A River Sutra,Gita ,Mehta ,,FRIENDSHIP AND INTERACTIONS,Asia,India,,,,
,122,Rich Like Us,Nayantara ,Sahgal ,1985,India,Novels,Rich Like Us,Nayantara ,Sahgal ,,FRIENDSHIP AND INTERACTIONS,Asia,India,,,,
,123,Rain of Scorpions and Other Stories,Estaela Portillo ,Trambley ,1975,U.S.,Short Stories,Rain of Scorpions and Other Stories,Estaela Portillo ,Trambley ,,FRIENDSHIP AND INTERACTIONS,North America,U.S.,,X,,
,124,The Mixquiahuala Letters,Ana ,Castillo ,1986,U.S.,Novels,The Mixquiahuala Letters,Ana ,Castillo ,,FRIENDSHIP AND INTERACTIONS,North America,U.S.,,X,,
,125,The Lover of Horses,Tess ,Gallagher ,1982,U.S.,Short Stories,The Lover of Horses,Tess ,Gallagher ,,FRIENDSHIP AND INTERACTIONS,North America,U.S.,,,,
,126,Hitchhiking: Twelve German Tales,Gabriele ,Eckart ,1987,Germany,Short Stories,Hitchhiking: Twelve German Tales,Gabriele ,Eckart ,,FRIENDSHIP AND INTERACTIONS,Europe,Germany,,,,
,127,Heartwork,Solveig ,von Schoultz ,1951,Finland,Short Stories,Heartwork,Solveig ,von Schoultz ,,FRIENDSHIP AND INTERACTIONS,Europe,Finland,,,,
,128,The Group,Mary ,McCarthy ,1954,U.S.,Novels,The Group,Mary ,McCarthy ,,FRIENDSHIP AND INTERACTIONS,North America,U.S.,,,,
,129,The Country of Pointed Firs,Sarah Orne ,Jewett ,1896,U.S.,Short Stories,The Country of Pointed Firs,Sarah Orne ,Jewett ,,FRIENDSHIP AND INTERACTIONS,North America,U.S.,,,,
,130,Cordelia and Other Stories,Françoise ,Mallet-Joris ,1956,France,Short Stories,Cordelia and Other Stories,Françoise ,Mallet-Joris ,,FRIENDSHIP AND INTERACTIONS,Europe,France,,,,
,131,Copper Crown,Lane ,von Herzen ,1991,U.S.,Novels,Copper Crown,Lane ,von Herzen ,,FRIENDSHIP AND INTERACTIONS,North America,U.S.,,,,
,132,Collector of Treasures and Other Botswana Village Tales,Bessie ,Head ,1977,Botswana,Short Stories,Collector of Treasures and Other Botswana Village Tales,Bessie ,Head ,,FRIENDSHIP AND INTERACTIONS,Africa,Botswana,,,,
,133,Circe's Mountain,Marie Luise ,Kaschnitz ,1952,Italy,Short Stories,Circe's Mountain,Marie Luise ,Kaschnitz ,,FRIENDSHIP AND INTERACTIONS,Europe,Italy,Germany,,,
,134,Cat's Eye,Margaret ,Atwood ,1988,Canada,Novels,Cat's Eye,Margaret ,Atwood ,,FRIENDSHIP AND INTERACTIONS,North America,Canada,,,,
GROWING OLD (Read: 0),,,,,,,,,,,,GROWING OLD,,,,,,
,135,"Two Old Women: An Alaska Legend of Betrayal, Courage and Survival",Velma ,Wallis ,1993,U.S.,Novels,"Two Old Women: An Alaska Legend of Betrayal, Courage and Survival",Velma ,Wallis ,,GROWING OLD,North America,U.S.,,X,,
,136,Moon Tiger,Penelope ,Lively ,1987,England,Novels,Moon Tiger,Penelope ,Lively ,,GROWING OLD,Europe,England,,,,
,137,The Pavilion of Women,Pearl S. ,Buck ,1946,China,Novels,The Pavilion of Women,Pearl S. ,Buck ,,GROWING OLD,Asia,China,U.S.,,,
,138,The Twilight Years,Sawako ,Ariyoshi ,1972,Japan,Novels,The Twilight Years,Sawako ,Ariyoshi ,,GROWING OLD,Asia,Japan,,,,
,139,Tirra Lirra by the River,Jessica ,Anderson ,1978,Australia,Novels,Tirra Lirra by the River,Jessica ,Anderson ,,GROWING OLD,Oceania,Australia,,,,
,140,The Summer of the Great-Grandmother,Madeleine ,L'Engle ,1974,U.S.,"Diaries, Journals, and Letters",The Summer of the Great-Grandmother,Madeleine ,L'Engle ,,GROWING OLD,North America,U.S.,,,,
,141,The Stone Angel,Margaret ,Laurence ,1964,Canada,Novels,The Stone Angel,Margaret ,Laurence ,,GROWING OLD,North America,Canada,,,,
,142,Sister Age,M. F. K. ,Fisher ,1984,U.S.,Essays,Sister Age,M. F. K. ,Fisher ,,GROWING OLD,North America,U.S.,,,,
,143,On the Golden Porch,Tatyana ,Tolstaya ,1987,Russia,Short Stories,On the Golden Porch,Tatyana ,Tolstaya ,,GROWING OLD,Europe,Russia,,,,
,144,Memory Board,Jane ,Rule ,1987,Canada,Novels,Memory Board,Jane ,Rule ,,GROWING OLD,North America,Canada,,,X,
,145,"Look Me in the Eye: Old Women, Aging and Ageism",Barbara ,Macdonald,1978,U.S.,Essays,"Look Me in the Eye: Old Women, Aging and Ageism",Barbara ,Macdonald,Cynthia Rich,GROWING OLD,North America,U.S.,,,X,
,146,Limbo: A Memoir About Life in a Nursing Home by a Survivor,Carobeth ,Laird ,1989,U.S.,Autobiographies and Memoirs,Limbo: A Memoir About Life in a Nursing Home by a Survivor,Carobeth ,Laird ,,GROWING OLD,North America,U.S.,,,,
,147,Islanders,Helen R. ,Hull ,1927,U.S.,Novels,Islanders,Helen R. ,Hull ,,GROWING OLD,North America,U.S.,,,,
,148,Frangipani House,Beryl ,Gilroy ,1986,Carribean (general),Novels,Frangipani House,Beryl ,Gilroy ,,GROWING OLD,Caribbean,Carribean (general),Guyana/England,,,
,149,The Dangerous Age,Karin ,Michaëlis ,1910,Denmark,Novels,The Dangerous Age,Karin ,Michaëlis ,,GROWING OLD,Europe,Denmark,,,,
